SizeID,ShapeID,DimDepth,DimDepthImperial,DimWidth,DimWidthImperial,DimWeight,DimWeightImperial,DimWeightMetric,DimThickness,DimThicknessImperial,DimGage,DimGageImperial,DimDiameter,DimDiameterImperial,DimComment,SizeUnits,BaseWeight,UnitWeight,XSectionalArea,Depth,FlangeWidth,FlangeThickness,WebThickness,KDistance,AdjustedK,UsualGage,SecondaryGage,AxisXXS,InsideDiameter,OutsideDiameter,WallThickness,CalcRevaluation,RevaluationLength1,RevaluationLength2,RevaluationLength3,RevaluationPrice1,RevaluationPrice2,RevaluationPrice3,ChargeLength,CalcScrap,ScrapWidth,ScrapLength,ScrapPrice,Kerf,KerfRipCut,KerfCrossCut,KerfInternalCut,TrimLeadingWidth,TrimLeadingLength,TrimTrailingWidth,TrimTrailingLength,ClampAllowanceFromPart,ValidCombiningScrapPercentage,FirstCutCost,FirstCutCharge,AdditionalCutCost,AdditionalCutCharge,DimensionSizesImperial,DimensionSizesImperial_Reverse,DimensionSizesImperial_EDI,Dim1Imperial,Dim1SortValue,Dim2Imperial,Dim2SortValue,Dim3Imperial,Dim3SortValue,Dim4Imperial,Dim4SortValue,Dim5Imperial,Dim5SortValue,Dim6Imperial,Dim6SortValue,SortOrder,SortOrder_Reverse,ProNestDesignation,SigmaNestDesignation,ERPDesignation
34,9,914.401828803658,914.401828803658,,,446448.2901725,446448.2901725,446000.0,,,,,,,,Imperial,,446448.2901725,56967.8558711956,932.181864363729,424.180848361697,42.6720853441707,24.003048006096,66.8021336042672,66.8021336042672,,,18189750.1782828,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,36 x 300,300 x 36,36X300,36,914.40183,300,446448.29,,,,,,,,,271360.0,376784.0,,,D
35,9,914.401828803658,914.401828803658,,,416685.070827666,416685.070827666,417000.0,,,,,,,,Imperial,,416685.070827666,53161.396645373905,927.101854203708,421.640843281687,39.8780797561595,22.4790449580899,64.008128016256,64.008128016256,,,16878777.1924606,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,36 x 280,280 x 36,36X280,36,914.40183,280,416685.07,,,,,,,,,269312.0,375120.0,,,D
36,9,914.401828803658,914.401828803658,,,386921.851482833,386921.851482833,387000.0,,,,,,,,Imperial,,386921.851482833,49354.937419552305,922.021844043688,421.640843281687,36.57607315214631,21.3360426720853,60.7061214122428,60.7061214122428,,,15616965.6936068,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,36 x 260,260 x 36,36X260,36,914.40183,260,386921.85,,,,,,,,,267264.0,373584.0,,,D
37,9,914.401828803658,914.401828803658,,,364599.436974208,364599.436974208,365000.0,,,,,,,,Imperial,,364599.436974208,46516.2220647022,916.941833883668,419.100838201676,34.2900685801372,20.3200406400813,58.420116840233696,58.420116840233696,,,14666510.2788857,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,36 x 245,245 x 36,36X245,36,914.40183,245,364599.44,,,,,,,,,264192.0,372176.0,,,D
38,9,914.401828803658,914.401828803658,,,342277.022465583,342277.022465583,342000.0,,,,,,,,Imperial,,342277.022465583,43612.9904517874,911.861823723647,419.100838201676,32.004064008128,19.3040386080772,56.1341122682245,56.1341122682245,,,13716054.8641646,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,36 x 230,230 x 36,36X230,36,914.40183,230,342277.02,,,,,,,,,261120.0,370768.0,,,D
39,9,914.401828803658,914.401828803658,,,380969.207613866,380969.207613866,381000.0,,,,,,,,Imperial,0.0,380969.2076138663,48580.74232277497,949.9618999237998,309.88061976123953,43.94208788417577,24.384048768097536,62.99212598425197,62.99212598425197,,,14666510.278885685,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,36 x 256,256 x 36,36X256,36,914.40183,256,380969.21,,,,,,,,,266240.0,373072.0,,,D
40,9,914.401828803658,914.401828803658,,,345253.344400066,345253.344400066,345000.0,,,,,,,,Imperial,0.0,345253.3444000663,43871.055484046454,942.3418846837693,307.34061468122934,39.878079756159515,22.09804419608839,58.928117856235716,58.928117856235716,,,13257214.319126835,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,36 x 232,232 x 36,36X232,36,914.40183,232,345253.34,,,,,,,,,263168.0,371152.0,,,D
41,9,914.401828803658,914.401828803658,,,312513.80312075,312513.80312075,313000.0,,,,,,,,Imperial,0.0,312513.80312074965,39935.563742095226,932.1818643637288,309.88061976123953,34.54406908813817,21.082042164084328,53.59410718821437,53.59410718821437,,,11782369.710076878,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,36 x 210,210 x 36,36X210,36,914.40183,210,312513.8,,,,,,,,,260096.0,369104.0,,,D
42,9,914.401828803658,914.401828803658,,,288703.227644883,288703.227644883,289000.0,,,,,,,,Imperial,0.0,288703.22764488304,36774.2670969213,927.1018542037085,307.34061468122934,32.00406400812802,19.431038862077724,51.05410210820422,51.05410210820422,,,10881075.782324128,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,36 x 194,194 x 36,36X194,36,914.40183,194,288703.23,,,,,,,,,259072.0,368208.0,,,D
43,9,914.401828803658,914.401828803658,,,270845.296037983,270845.296037983,271000.0,,,,,,,,Imperial,0.0,270845.29603798303,34580.714322718966,922.021844043688,307.34061468122934,29.972059944119888,18.41503683007366,49.022098044196085,49.022098044196085,,,10209202.127090257,,,,%,24384.0487680975,,,1.0,,,24384.0487680975,%,,3656.01981203962,,3.1750063500127,,,,,,,,,0.0,,,,,36 x 182,182 x 36,36X182,36,914.40183,182,270845.3,,,,,,,,,258048.0,367056.0,,,D
